Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	facies	indicative meaning	Core Name	water depth (m)	Depth in core (cm)	elevation
Bonaparte_Gulf	radiocarbon	ANUA-9324	-12.28	128.17	15980	170	bivalve	marine	0	0	0	-102.9	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC6	110	40	-110.4
Bonaparte_Gulf	radiocarbon	ANUA-8816	-12.17	128	16730	250	bivalve	marine	0	0	0	-115.3	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 4	121	180	-122.8
Bonaparte_Gulf	radiocarbon	ANUA-9318	-12.17	128	18390	200	bivalve	marine	0	0	0	-115.6	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 4	121	210	-123.1
Bonaparte_Gulf	radiocarbon	ANUA-9319	-12.64	128.61	11590	180	bivalve	marine	0	0	0	-97.6	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 8	95	110	-96.1
Bonaparte_Gulf	radiocarbon	ANUA-6928	-12.2	128.04	16240	240	benthic foraminifera	marine	0	0	0	-121.77	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 5	118	227	-120.27
Bonaparte_Gulf	radiocarbon	ANUA-6807	-12.2	128.04	16540	170	bivalve	marine	0	0	0	-121.77	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 5	118	227	-120.27
Bonaparte_Gulf	radiocarbon	ANUA-7531	-12.2	128.04	16690	190	bivalve, benthic foraminifera	marine	0	0	0	-121.79	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 5	118	229	-120.29
Bonaparte_Gulf	radiocarbon	ANUA-6930	-12.2	128.04	17360	230	bivalve, benthic foraminifera	marine	0	0	0	-122.7	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 5	118	320	-121.2
Bonaparte_Gulf	radiocarbon	ANUA-9317	-12.2	128.04	18040	150	bivalve	marine	0	0	0	-122.9	1.5	1.5	YokoyamaEtal2000	brackish	High tide to mean sea level (3 m is modern range)	GC 5	118	340	-121.4
Bonaparte_Gulf	radiocarbon	YAUT-002121	-12.76	128.87	12490	120	Turritella terebra	marine	0	0	-1	-88.22	1	1	IshiwaEtal2019	marine		KH11-1-GC14	88	22	-88.22
Bonaparte_Gulf	radiocarbon	YAUT-023307	-12.1	128.1	14290	40	Benthic foraminifera	marine	0	0	-1	-116.18	1	1	IshiwaEtal2019	marine		KH11-1-GC07	115	118	-116.18
Bonaparte_Gulf	radiocarbon	ANUA-7519	-11.22	126.27	14570	180	benthic foraminifera	marine	0	0	0	-95.35	7.5	7.5	YokoyamaEtal2000	marginal beach or coastal lagoon		GC 11	101	185	-102.85
Bonaparte_Gulf	radiocarbon	ANUA-7520	-11.16	126.28	14750	150	benthic foraminifera	marine	0	0	0	-98.37	7.5	7.5	YokoyamaEtal2000	marginal beach or coastal lagoon		GC 10	103	287	-105.87
Bonaparte_Gulf	radiocarbon	YAUT-025127	-12.26	128.41	14960	50	unknown macrofossil	marine	0	0	-1	-108.57	1	1	IshiwaEtal2019	marine		KH11-1-GC11	108	57	-108.57
Bonaparte_Gulf	radiocarbon	YAUT-008621	-12.1	128.1	15300	90	unknown macrofossil	marine	0	0	-1	-116.5	1	1	IshiwaEtal2019	marine		KH11-1-GC07	115	150	-116.5
