latitude	longitude	region	gia_region	location	lab_id	indicator_type
53.66	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	GSC-2239	marine_limiting
52.17	-77.54	North_America_Arctic	Hudson_Bay	East_James_Bay	GSC-2161	marine_limiting
53.76	-78.94	North_America_Arctic	Hudson_Bay	East_James_Bay	L-433A	terrestrial_limiting
51.49	-77.62	North_America_Arctic	Hudson_Bay	East_James_Bay	GSC-2135	marine_limiting
51.49	-77.62	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-370	marine_limiting
53.66	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-249	marine_limiting
52.79	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-250	marine_limiting
53.66	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	GSC-1959	index_point
52.17	-77.54	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-252	marine_limiting
52.79	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-253	marine_limiting
53.54	-78.15	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-369	marine_limiting
52.41	-77.62	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-258	marine_limiting
53.72	-78.82	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-256	marine_limiting
53.69	-78.63	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-247	marine_limiting
53.69	-78.63	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-255	marine_limiting
51.98	-78.38	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-254	marine_limiting
53.01	-77.74	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-254947	index_point
53.68	-77.73	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-199816	terrestrial_limiting
53.68	-77.73	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-199819	terrestrial_limiting
52.77	-77.52	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251799	index_point
53.01	-78.36	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251805	index_point
53.01	-78.36	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251806	terrestrial_limiting
53.0	-78.5	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251811	terrestrial_limiting
53.0	-78.5	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251812	index_point
53.0	-78.5	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251813	index_point
52.97	-78.58	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-251816	terrestrial_limiting
52.74	-77.99	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-254945	terrestrial_limiting
53.01	-77.74	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-254948	index_point
52.74	-77.99	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-254946	terrestrial_limiting
57.95	-77.08	North_America_Arctic	Hudson_Bay	Inukjuak	UL-523	terrestrial_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3265	index_point
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	I-2415	marine_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3264	index_point
58.25	-78.5	North_America_Arctic	Hudson_Bay	Inukjuak	UQ-1757	marine_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3282	index_point
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3263	index_point
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	GX-1061	marine_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3262	index_point
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	QC-456	marine_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3261	index_point
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3260	index_point
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	I-2547	marine_limiting
60.03	-77.2	North_America_Arctic	Hudson_Bay	Inukjuak	Gif-1819	marine_limiting
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	I-2417	marine_limiting
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	GSC-706	marine_limiting
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	I-2418	marine_limiting
58.05	-77.23	North_America_Arctic	Hudson_Bay	Inukjuak	UL-506	terrestrial_limiting
58.25	-77.75	North_America_Arctic	Hudson_Bay	Inukjuak	UL-3283	index_point
58.25	-78.5	North_America_Arctic	Hudson_Bay	Inukjuak	UQ-960	marine_limiting
59.83	-80.0	North_America_Arctic	Hudson_Bay	Inukjuak	GIF-1819	marine_limiting
62.01	-78.0	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5412	index_point
62.57	-78.0	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5410	marine_limiting
62.52	-77.4	North_America_Arctic	Hudson_Bay	Ivujivik	NPL58	marine_limiting
62.25	-78.0	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5409	marine_limiting
62.18	-78.1	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5399	index_point
61.87	-77.1	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5353	marine_limiting
61.73	-77.8	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5344	index_point
62.55	-77.4	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-327	marine_limiting
62.58	-78.1	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5322	index_point
61.6	-77.3	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5312	index_point
62.14	-77.9	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5310	marine_limiting
62.55	-77.4	North_America_Arctic	Hudson_Bay	Ivujivik	N-281	marine_limiting
62.52	-77.4	North_America_Arctic	Hudson_Bay	Ivujivik	L-702B	marine_limiting
62.42	-77.9	North_America_Arctic	Hudson_Bay	Ivujivik	BETA-51804	terrestrial_limiting
61.49	-77.5	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5420	marine_limiting
62.0	-80.0	North_America_Arctic	Hudson_Bay	Ivujivik	GX-1071	marine_limiting
62.45	-77.8	North_America_Arctic	Hudson_Bay	Ivujivik	GX-12035	marine_limiting
62.42	-77.9	North_America_Arctic	Hudson_Bay	Ivujivik	AECV-1795C	terrestrial_limiting
62.0	-80.0	North_America_Arctic	Hudson_Bay	Ivujivik	GX-1069	marine_limiting
62.0	-80.0	North_America_Arctic	Hudson_Bay	Ivujivik	GX-1070	marine_limiting
61.84	-78.0	North_America_Arctic	Hudson_Bay	Ivujivik	GSC-5423	marine_limiting
64.3	-95.77	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-23	terrestrial_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73108	marine_limiting
61.09	-94.05	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73110	marine_limiting
61.09	-94.05	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73111	marine_limiting
64.52	-100.47	North_America_Arctic	Hudson_Bay	Kivalliq	I-1224	marine_limiting
62.17	-95.68	North_America_Arctic	Hudson_Bay	Kivalliq	I(GSC)-8	marine_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-90702	marine_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-92965	index_point
62.88	-92.15	North_America_Arctic	Hudson_Bay	Kivalliq	BIRM-717	terrestrial_limiting
64.82	-92.0	North_America_Arctic	Hudson_Bay	Kivalliq	S-427	marine_limiting
62.82	-94.8	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1016	marine_limiting
63.56	-94.07	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-2042	marine_limiting
64.05	-96.97	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1083	marine_limiting
64.04	-96.88	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1121	marine_limiting
64.05	-96.98	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1164	marine_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-92966	index_point
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-92968	terrestrial_limiting
62.88	-92.15	North_America_Arctic	Hudson_Bay	Kivalliq	S-1317	terrestrial_limiting
61.31	-94.45	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-72787	marine_limiting
62.27	-95.5	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1434	marine_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73107	index_point
61.31	-94.45	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-72788	marine_limiting
63.77	-95.67	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-439	marine_limiting
62.27	-95.5	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-1484	marine_limiting
64.52	-96.05	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-299	marine_limiting
64.32	-88.48	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-289	marine_limiting
61.93	-96.47	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-5234	marine_limiting
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73106	index_point
61.25	-94.13	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-73105	index_point
61.31	-94.45	North_America_Arctic	Hudson_Bay	Kivalliq	UCIAMS-72789	marine_limiting
61.67	-96.55	North_America_Arctic	Hudson_Bay	Kivalliq	GSC-2634	terrestrial_limiting
57.6	-76.25	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1202	marine_limiting
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	Qu-1064	index_point
55.28	-77.74	North_America_Arctic	Hudson_Bay	Umiujaq	GIF-1567	terrestrial_limiting
56.24	-76.47	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-1238	marine_limiting
56.27	-76.5	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-1261	index_point
56.28	-76.5	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-1287	index_point
56.24	-76.47	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-1364	index_point
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1904	terrestrial_limiting
56.24	-76.47	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-1725	marine_limiting
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-2070	index_point
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-2074	index_point
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-2129	index_point
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1299	terrestrial_limiting
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1298	index_point
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1297	terrestrial_limiting
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1296	index_point
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1295	index_point
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1294	marine_limiting
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1292	marine_limiting
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1290	index_point
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	Qu-1201	terrestrial_limiting
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	Qu-1210	terrestrial_limiting
56.9	-76.51	North_America_Arctic	Hudson_Bay	Umiujaq	UQ-622	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UQ-545	marine_limiting
57.6	-76.25	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1237	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1528	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1536	marine_limiting
57.47	-76.68	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-28169	terrestrial_limiting
57.58	-76.82	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-28177	terrestrial_limiting
57.12	-76.38	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-44775	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1540	marine_limiting
55.27	-77.75	North_America_Arctic	Hudson_Bay	Umiujaq	UCIAMS-67523	terrestrial_limiting
55.27	-77.75	North_America_Arctic	Hudson_Bay	Umiujaq	UCIAMS-67522	terrestrial_limiting
55.33	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	TO-8909	index_point
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UQ-540	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1556	marine_limiting
55.33	-77.61	North_America_Arctic	Hudson_Bay	Umiujaq	TO-7593	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1710	marine_limiting
55.63	-77.13	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1288	index_point
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1711	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	TO-7410	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1722	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1878	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	TO-7409	marine_limiting
56.53	-76.18	North_America_Arctic	Hudson_Bay	Umiujaq	UQ-863	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UQ-547	marine_limiting
55.33	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	TO-7594	marine_limiting
55.58	-77.3	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-2348	index_point
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1205	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-121552	marine_limiting
56.19	-75.83	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-183295	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1953	marine_limiting
56.19	-75.83	North_America_Arctic	Hudson_Bay	Umiujaq	UL-2720	marine_limiting
55.98	-76.75	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-27	marine_limiting
55.28	-77.74	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-2432	terrestrial_limiting
55.28	-77.78	North_America_Arctic	Hudson_Bay	Umiujaq	I-8367	terrestrial_limiting
56.24	-76.47	North_America_Arctic	Hudson_Bay	Umiujaq	I-8364	marine_limiting
56.56	-76.48	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-5755	index_point
55.98	-76.75	North_America_Arctic	Hudson_Bay	Umiujaq	GSC-595	marine_limiting
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1081	index_point
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-121551	marine_limiting
56.61	-76.12	North_America_Arctic	Hudson_Bay	Umiujaq	I-13336	terrestrial_limiting
56.61	-76.12	North_America_Arctic	Hudson_Bay	Umiujaq	I-13335	terrestrial_limiting
56.62	-76.4	North_America_Arctic	Hudson_Bay	Umiujaq	I-13334	terrestrial_limiting
56.62	-76.4	North_America_Arctic	Hudson_Bay	Umiujaq	I-13333	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	I-13131	terrestrial_limiting
56.61	-76.12	North_America_Arctic	Hudson_Bay	Umiujaq	I-13130	terrestrial_limiting
56.9	-76.51	North_America_Arctic	Hudson_Bay	Umiujaq	I-13129	terrestrial_limiting
55.28	-77.78	North_America_Arctic	Hudson_Bay	Umiujaq	I-11730	terrestrial_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1918	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	I-13406	terrestrial_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1082	marine_limiting
56.79	-76.34	North_America_Arctic	Hudson_Bay	Umiujaq	UL-1928	marine_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1084	marine_limiting
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1104	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1107	terrestrial_limiting
55.41	-77.64	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1108	terrestrial_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1083	marine_limiting
56.19	-75.83	North_America_Arctic	Hudson_Bay	Umiujaq	BETA-183296	marine_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1206	terrestrial_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1207	terrestrial_limiting
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1208	terrestrial_limiting
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1106	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1103	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1102	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1101	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1100	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1099	index_point
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1209	terrestrial_limiting
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1098	index_point
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1097	index_point
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1087	index_point
55.47	-77.5	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1085	marine_limiting
55.36	-77.62	North_America_Arctic	Hudson_Bay	Umiujaq	QU-1105	index_point
53.53	-86.05	North_America_Arctic	Hudson_Bay	West_James_Bay	GSC-872	marine_limiting
53.13	-85.3	North_America_Arctic	Hudson_Bay	West_James_Bay	GrN-1925	terrestrial_limiting
54.92	-82.74	North_America_Arctic	Hudson_Bay	West_James_Bay	GSC-877	marine_limiting
51.45	-83.48	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-44536	terrestrial_limiting
52.71	-84.18	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-281004	terrestrial_limiting
54.93	-82.74	North_America_Arctic	Hudson_Bay	West_James_Bay	I-3907	marine_limiting
54.31	-84.56	North_America_Arctic	Hudson_Bay	West_James_Bay	WAT-738	terrestrial_limiting
51.45	-83.48	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-44537	index_point
54.92	-82.74	North_America_Arctic	Hudson_Bay	West_James_Bay	I-3908	terrestrial_limiting
54.92	-82.74	North_America_Arctic	Hudson_Bay	West_James_Bay	I-3909	index_point
51.75	-82.32	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-54596	terrestrial_limiting
51.75	-82.32	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-54597	terrestrial_limiting
51.75	-82.32	North_America_Arctic	Hudson_Bay	West_James_Bay	BETA-54598	index_point
54.93	-82.74	North_America_Arctic	Hudson_Bay	West_James_Bay	I-3982	marine_limiting
53.12	-85.42	North_America_Arctic	Hudson_Bay	West_James_Bay	GSC-31	terrestrial_limiting
54.92	-82.75	North_America_Arctic	Hudson_Bay	West_James_Bay	GSC-231	terrestrial_limiting
54.57	-84.67	North_America_Arctic	Hudson_Bay	West_James_Bay	GSC-247	terrestrial_limiting
62.07	-73.18	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5165	marine_limiting
62.17	-72.98	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5178	marine_limiting
62.12	-72.95	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5192	marine_limiting
61.55	-72.3	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5202	marine_limiting
62.02	-72.6	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-11100	marine_limiting
62.12	-72.95	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5581	marine_limiting
62.02	-72.6	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-11103	marine_limiting
62.06	-73.09	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-34762	marine_limiting
62.0	-73.0	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-34764	marine_limiting
62.12	-72.95	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-34766	marine_limiting
61.78	-72.58	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-11099	terrestrial_limiting
61.86	-72.66	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	BETA-11101	marine_limiting
61.55	-72.26	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5135	marine_limiting
62.1	-72.78	North_America_Arctic	Hudson_Strait	Kangiqsujuaq	GSC-5200	marine_limiting
57.65	-69.49	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	TO-5677	marine_limiting
58.36	-68.24	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	BETA-25713	index_point
58.36	-68.38	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	BETA-26570	index_point
58.13	-67.8	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	MBN-198	marine_limiting
58.36	-68.24	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	BETA-25727	index_point
58.36	-68.24	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	BETA-25715	terrestrial_limiting
58.36	-68.38	North_America_Arctic	Hudson_Strait	Southern_Ungava_Bay	BETA-26569	terrestrial_limiting
62.12	-74.65	North_America_Arctic	Hudson_Strait	Sugluk	N-283	marine_limiting
62.23	-75.7	North_America_Arctic	Hudson_Strait	Sugluk	I-729	marine_limiting
62.4	-76.39	North_America_Arctic	Hudson_Strait	Sugluk	I-726	marine_limiting
62.25	-75.75	North_America_Arctic	Hudson_Strait	Sugluk	NPL-114	terrestrial_limiting
62.15	-74.75	North_America_Arctic	Hudson_Strait	Sugluk	NPL-71	marine_limiting
62.12	-74.63	North_America_Arctic	Hudson_Strait	Sugluk	NPL-83	marine_limiting
62.1	-74.57	North_America_Arctic	Hudson_Strait	Sugluk	Gak-1036	terrestrial_limiting
62.12	-74.63	North_America_Arctic	Hudson_Strait	Sugluk	NPL-84	marine_limiting
62.12	-74.65	North_America_Arctic	Hudson_Strait	Sugluk	I-488	marine_limiting
62.33	-75.67	North_America_Arctic	Hudson_Strait	Sugluk	N-284	marine_limiting
62.3	-76.2	North_America_Arctic	Hudson_Strait	Sugluk	L-702A	marine_limiting
62.1	-74.5	North_America_Arctic	Hudson_Strait	Sugluk	BETA-19856	terrestrial_limiting
62.1	-74.5	North_America_Arctic	Hudson_Strait	Sugluk	BETA-19855	marine_limiting
62.1	-74.5	North_America_Arctic	Hudson_Strait	Sugluk	BETA-11126	marine_limiting
62.22	-75.63	North_America_Arctic	Hudson_Strait	Sugluk	BETA-11127	marine_limiting
62.08	-75.73	North_America_Arctic	Hudson_Strait	Sugluk	BETA-45775	marine_limiting
62.21	-75.77	North_America_Arctic	Hudson_Strait	Sugluk	GSC-5590	marine_limiting
62.62	-74.33	North_America_Arctic	Hudson_Strait	Sugluk	GSC-5197	terrestrial_limiting
62.1	-74.41	North_America_Arctic	Hudson_Strait	Sugluk	GSC-4938	marine_limiting
62.1	-74.6	North_America_Arctic	Hudson_Strait	Sugluk	GSC-4782	marine_limiting
62.1	-74.28	North_America_Arctic	Hudson_Strait	Sugluk	BETA-11125	marine_limiting
62.65	-74.31	North_America_Arctic	Hudson_Strait	Sugluk	GSC-4745	marine_limiting
62.13	-74.27	North_America_Arctic	Hudson_Strait	Sugluk	GSC-4319	marine_limiting
62.12	-74.64	North_America_Arctic	Hudson_Strait	Sugluk	GSC-3947	marine_limiting
62.12	-74.27	North_America_Arctic	Hudson_Strait	Sugluk	BETA-13860	marine_limiting
62.4	-76.39	North_America_Arctic	Hudson_Strait	Sugluk	GSC-327	marine_limiting
62.47	-73.71	North_America_Arctic	Hudson_Strait	Sugluk	UQ-37	marine_limiting
