Latitude	longitude	
16.9	-88.09	Khan_2017_Caribbean
17.25	-87.93	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
16.1	-88.25	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.26	-88.17	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.9	-88.06	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.9	-88.08	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.78	-87.86	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
17.23	-88.05	Khan_2017_Caribbean
16.75	-87.8	Khan_2017_Caribbean
17.47	-88.04	Khan_2017_Caribbean
16.45	-88.03	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.23	-88.05	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.2	-87.53	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.91	-88.08	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.75	-87.8	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.15	-87.61	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.26	-88.17	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.39	-87.53	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.1	-88.25	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
17.48	-87.83	Khan_2017_Caribbean
16.78	-87.86	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
16.89	-87.77	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
16.74	-87.84	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.39	-81.37	Khan_2017_Caribbean
19.03	-81.08	Khan_2017_Caribbean
11.58	-72.88	Khan_2017_Caribbean
11.58	-72.88	Khan_2017_Caribbean
12.56	-71.71	Khan_2017_Caribbean
12.56	-71.71	Khan_2017_Caribbean
11.41	-72.88	Khan_2017_Caribbean
12.56	-71.71	Khan_2017_Caribbean
6.05	-77.36	Khan_2017_Caribbean
5.77	-77.23	Khan_2017_Caribbean
11.41	-72.88	Khan_2017_Caribbean
22.4	-78.88	Khan_2017_Caribbean
22.59	-78.7	Khan_2017_Caribbean
22.4	-78.88	Khan_2017_Caribbean
22.4	-78.88	Khan_2017_Caribbean
22.56	-78.77	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.15	-69	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
12.13	-68.81	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.53	-71.74	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.31	-71.19	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.53	-71.61	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
18.4	-71.4	Khan_2017_Caribbean
25.03	-80.68	Khan_2017_Caribbean
25.21	-80.53	Khan_2017_Caribbean
25.21	-80.53	Khan_2017_Caribbean
25.89	-80.95	Khan_2017_Caribbean
25.89	-80.95	Khan_2017_Caribbean
25.89	-80.95	Khan_2017_Caribbean
25.89	-80.95	Khan_2017_Caribbean
25.89	-80.95	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.49	-80.18	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.42	-80.21	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
25.35	-80.28	Khan_2017_Caribbean
24.5	-82.39	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
25.29	-81	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
26.25	-80.06	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
