Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	dummy
Northern_Massacusetts	radiocarbon	OS-72755	42.729	-70.8229	415	60	Ds	terrestrial	0	0	0	-1.74	0.8410634280480872	0.8410634280480872	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	H-1356	42.75	-70.8	4900	130	Undiff peat	terrestrial	0	0	1	-5.1984	0.9516301802696255	0.9516301802696255	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1359	42.75	-70.8	6280	150	Undiff peat	terrestrial	0	0	1	-10.0929	0.9571311299921239	0.9571311299921239	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1366	42.75	-70.8	3375	120	Undiff peat	terrestrial	0	0	1	-0.6009	0.9491048414163737	0.9491048414163737	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1367	42.75	-70.8	3550	130	Undiff peat	terrestrial	0	0	1	-0.9509	0.9491048414163737	0.9491048414163737	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1372	42.75	-70.8	4225	135	Undiff peat	terrestrial	0	0	1	-2.4904	0.9495788540189803	0.9495788540189803	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1375	42.75	-70.8	3625	125	Undiff peat	terrestrial	0	0	1	-1.5609	0.9491048414163737	0.9491048414163737	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	H-1376	42.75	-70.8	2450	110	Undiff peat	terrestrial	0	0	1	0.7991	0.9491048414163737	0.9491048414163737	NewmanEtal1980	Newman et al. (1980)
Northern_Massacusetts	radiocarbon	WHG-706	42.655	-70.415	7500	75	Marine shells	marine	90	49	-1	-61.0572	3.19	3.19	OldaleEtal1993	Oldale et al. (1993)
Northern_Massacusetts	radiocarbon	WHG-709	42.64	-70.45	4660	65	Marine shells	marine	90	49	-1	-58.0519	3.18	3.18	OldaleEtal1993	Oldale et al. (1993)
Northern_Massacusetts	radiocarbon	I-2215	42.27	-71.05	1310	95	Undiff peat	terrestrial	0	0	1	2.0354	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	I-2216	42.27	-71.05	1360	105	Undiff peat	terrestrial	0	0	1	1.7354	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	I-2217	42.27	-71.05	1860	100	Undiff peat	terrestrial	0	0	1	1.4254	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	W-1451	42.27	-71.05	2100	200	Undiff peat	terrestrial	0	0	1	1.3054	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	W-1452	42.27	-71.05	2790	200	Undiff peat	terrestrial	0	0	1	0.6954	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	W-1453	42.27	-71.05	3110	200	Undiff peat	terrestrial	0	0	1	0.2154	0.9553533377761341	0.9553533377761341	Redfield1967	Redfield (1967)
Northern_Massacusetts	radiocarbon	C-417	42.4	-71.1	5717	550	Fresh peat	terrestrial	0	0	1	-6.3294	0.2705549851693737	0.2705549851693737	RedfieldRubin1962	Redfield and Rubin (1962)
