Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	note
Netherlands_Wadden_Sea	radiocarbon	GRN-7258	53.393	5.259	1620	50	Phragmites peat	terrestrial	-	-	0	-0.11	0.54	0.54	MeijlesEtal2018,DeJong1984	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-7260	53.395	5.252	1555	50	sandy peat	terrestrial	-	-	1	0.88	0.54	0.54	MeijlesEtal2018,DeJong1984	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-17208	53.308	5.068	1530	30	peat little sandy	terrestrial	-	-	0	0.18	0.22	0.22	MeijlesEtal2018,DeGrootEtal1996	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-9424	53.309	5.068	1500	30	sandy peat	terrestrial	-	-	0	-0.06	0.54	0.54	MeijlesEtal2018,DeJong1984	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-17592	53.404	5.361	1285	30	clay, humic (residu)	terrestrial	-	-	0	0.21	0.23	0.23	MeijlesEtal2018,DeGrootEtal1996	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-17597	53.368	5.234	1260	50	gyttja, little sandy	terrestrial	-	-	0	0.53	0.22	0.22	MeijlesEtal2018,DeGrootEtal1996	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-17594	53.403	5.362	880	45	peat, little clayey	terrestrial	-	-	0	0.54	0.28	0.35	MeijlesEtal2018,DeGrootEtal1996	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-7265	53.376	5.262	655	45	peat, unclassified	terrestrial	-	-	0	-0.12	0.54	0.58	MeijlesEtal2018,DeJong1984	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-16935	53.478	6.139	525	30	peat little sandy with Pragmites remains	terrestrial	-	-	1	1.04	0.23	0.23	MeijlesEtal2018,DeGrootEtal1996	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-17004	53.487	6.153	455	90	sand, humic (extract)	terrestrial	-	-	1	1.63	0.23	0.23	MeijlesEtal2018,DeGrootEtal1996	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-16022	53.449	5.838	375	25	clay, strongly peaty, little sandy	terrestrial	-	-	1	1.24	0.22	0.22	MeijlesEtal2018,DeGrootEtal1996	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-17212	53.282	5.023	270	35	peat/gyttja, strongly sandy	terrestrial	-	-	1	1.09	0.22	0.22	MeijlesEtal2018,DeGrootEtal1996	controlled by local groundwater conditions independent of sea level
