Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes									
Parnu	radiocarbon	Ta-2843	58.36	24.59	8570	150	sandy woody peat	terrestrial	-	-	0	-3.52	0.7071067811865476	0.7071067811865476	RosentauEtal2011,NirgiEtal2020		#REF!	1154	1401; Reiu 8	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	9600	555
Parnu	radiocarbon	Ta-2944	58.13	24.51	7400	150	peat	terrestrial	-	-	1	2.68	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1180	1427; Rannametsa 8	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Rannametsa	0	n/a	8220	295
Parnu	radiocarbon	Ta-2945	58.14	24.52	3800	150	peat bog	terrestrial	-	-	1	4.48	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1185	1432; Tolkuse 3	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Tolkuse	0	n/a	4200	585
Parnu	radiocarbon	Ta-2946	58.14	24.52	7410	150	peat bog	terrestrial	-	-	1	1.78	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1183	1430; Tolkuse 1	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Tolkuse	0	n/a	8220	295
Parnu	radiocarbon	Ta-2947	58.14	24.52	7880	100	peat bog	terrestrial	-	-	1	1.48	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1184	1431; Tolkuse 2	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Tolkuse	0	n/a	8730	270
Parnu	radiocarbon	Ta-3066	58.13	24.51	6860	60	wood in sand	terrestrial	-	-	0	2.18	0.7071067811865476	0.7071067811865476	HabichtEtal2017,NirgiEtal2020		#REF!	1181	1428; Rannametsa 9	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Rannametsa	0	n/a	7700	125
Parnu	radiocarbon	Ta-54	58.13	24.51	7960	150	wood in peat	terrestrial	-	-	1	2.43	0.5	0.5	KesselPunning1969,NirgiEtal2020		#REF!	1179	1426; Rannametsa 7	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Rannametsa	0	n/a	8830	425
Parnu	radiocarbon	Ta-55	58.38	24.63	6710	110	wood in buried peat	terrestrial	-	-	0	7.18	0.7071067811865476	0.7071067811865476	KesselPunning1969,NirgiEtal2020		#REF!	1167	1414; Sindi 1	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi	0	n/a	7580	210
Parnu	radiocarbon	Ta-77	58.13	24.57	9100	125	peat	terrestrial	-	-	1	6.68	0.5	0.5	KesselPunning1969a,NirgiEtal2020		#REF!	1131	1378; Võidu 1	Kessel & Punning 1969b (as in Nirgi et al. 2019)	Estonia; Pärnu; Võidu	0	n/a	10280	370
Parnu	radiocarbon	Ta-949	58.42	24.68	9350	60	charcoal	terrestrial	-	-	1	9.18	0.5	0.5	JaanitsJaanits1978,NirgiEtal2020		#REF!	1126	1373; Pulli 6	Jaanits & Jaanits 1978 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10570	160
Parnu	radiocarbon	Tln-1631	58.44	24.57	9215	70	buried soil	terrestrial	-	-	1	11.36	0.5080354318352215	0.5080354318352215	RaukasEtal1995,RaukasEtal1999,NirgiEtal2020		#REF!	1110	1357; Lõpe1	Raukas et al. 1995, 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Lõpe	0	n/a	10390	170
Parnu	radiocarbon	Tln-1632	58.44	24.57	9260	70	wood in buried soil	terrestrial	-	-	1	11.36	0.5080354318352215	0.5080354318352215	RaukasEtal1995,RaukasEtal1999,NirgiEtal2020		#REF!	1111	1358; Lõpe2	Raukas et al. 1995, 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Lõpe	0	n/a	10440	205
Parnu	radiocarbon	Tln-1691	58.43	24.65	9125	85	wood in peat	terrestrial	-	-	1	11.18	0.5048762224545735	0.5048762224545735	RaukasEtal1999,NirgiEtal2020		#REF!	1134	1381; Urge	Raukas et al. 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Urge	0	n/a	10320	235
Parnu	radiocarbon	Tln-1991	58.45	24.61	9135	70	buried soil	terrestrial	-	-	1	11.63	0.5024937810560445	0.5024937810560445	RaukasEtal1999,NirgiEtal2020		#REF!	1112	1359; Pressi	Raukas et al. 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pressi	0	n/a	10320	175
Parnu	radiocarbon	Tln-1993	58.43	24.62	9340	45	buried soil	terrestrial	-	-	1	11.79	0.5080354318352215	0.5080354318352215	RaukasEtal1999,NirgiEtal2020		#REF!	1114	1361; Kõdu2	Raukas et al. 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Kõdu	0	n/a	10560	130
