Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	comment	age (From Hibbert et al 2016)	uncertainty	PRSL (m)	+2σPRSL	-2σPRSL	Hibbert source	specific location
Vanuatu	U/Th	10_108	-15.61	167.02	9933	17	Porites sp.	-	-	-	0	-28.425	35.550000000000004	35.550000000000004	CabiochEtal2003,HibbertEtal2016		9.933	0.017	-46.2	64.2	6.9	76	Urelapa Island
Vanuatu	U/Th	10_128	-15.61	167.02	10519	22	Porites sp.	-	-	-	0	-33.025	35.55	35.55	CabiochEtal2003,HibbertEtal2016		10.519	0.022	-50.8	64.1	7	76	Urelapa Island
Vanuatu	U/Th	10_148	-15.61	167.02	11290	27	Goniopora gr. Lobata	-	-	-	0	-46.099999999999994	23.4	23.4	CabiochEtal2003,HibbertEtal2016		11.29	0.027	-57.8	40.5	6.3	76	Urelapa Island
Vanuatu	U/Th	10_152	-15.61	167.02	11455	27	Leptastrea sp.	-	-	-	0	-46.675000000000004	26.049999999999997	26.049999999999997	CabiochEtal2003,HibbertEtal2016		11.455	0.027	-59.7	41.8	10.3	76	Urelapa Island
Vanuatu	U/Th	10_160	-15.61	167.02	11765	22	Porites sp.	-	-	-	0	-44.55	35.7	35.7	CabiochEtal2003,HibbertEtal2016		11.765	0.022	-62.4	64.2	7.2	76	Urelapa Island
Vanuatu	U/Th	10_194	-15.61	167.02	16015	35	Acropora sp.	-	-	-	0	-84.85	12.9	12.9	CabiochEtal2003,HibbertEtal2016		16.015	0.035	-91.3	20	5.8	76	Urelapa Island
Vanuatu	U/Th	10_209	-15.61	167.02	21697	49	Faviidae	-	-	-	0	-101.97500000000001	21.45	21.45	CabiochEtal2003,HibbertEtal2016		21.697	0.049	-112.7	32.3	10.6	76	Urelapa Island
Vanuatu	U/Th	10_214	-15.61	167.024	22056	37	Porites sp.	-	-	-	0	-96.9	37	37	CabiochEtal2003,HibbertEtal2016		22.056	0.037	-115.4	64.3	9.7	76	Urelapa Island
Vanuatu	U/Th	10_217	-15.61	167.024	22344	54	Faviidae	-	-	-	0	-106.2	21.4	21.4	CabiochEtal2003,HibbertEtal2016		22.344	0.054	-116.9	32.1	10.7	76	Urelapa Island
Vanuatu	U/Th	10_221	-15.61	167.024	22800	39	Porites sp.	-	-	-	0	-100.75	37.1	37.1	CabiochEtal2003,HibbertEtal2016		22.8	0.039	-119.3	64.3	9.9	76	Urelapa Island
Vanuatu	U/Th	11_78	-15.61	167.024	11271	22	Porites sp.	-	-	-	0	-41.175	35.65	35.65	CabiochEtal2003,HibbertEtal2016		11.271	0.022	-59	64.2	7.1	76	Urelapa Island
Vanuatu	U/Th	11_104	-15.61	167.024	12645	214	Porites sp.	-	-	-	0	-54.400000000000006	36	36	CabiochEtal2003,HibbertEtal2016		12.645	0.214	-72.4	64.4	7.6	76	Urelapa Island
Vanuatu	U/Th	12_106	-15.61	167.024	11360	17	Porites sp.	-	-	-	0	-51.550000000000004	35.7	35.7	CabiochEtal2003,HibbertEtal2016		11.36	0.017	-69.4	64.2	7.2	76	Urelapa Island
Vanuatu	U/Th	13_48	-15.61	167.024	6210	15	Porites sp.	-	-	-	0	-14.3	35	35	CabiochEtal2003,HibbertEtal2016		6.21	0.015	-31.8	63.9	6.1	76	Urelapa Island
Vanuatu	U/Th	13_60	-15.61	167.024	8774	16	Porites sp.	-	-	-	0	-29.35	35.3	35.3	CabiochEtal2003,HibbertEtal2016		8.774	0.016	-47	64	6.6	76	Urelapa Island
Vanuatu	U/Th	13_74_75_(a)	-15.61	167.024	9736	16	Porites sp.	-	-	-	0	-33.075	35.449999999999996	35.449999999999996	CabiochEtal2003,HibbertEtal2016		9.736	0.016	-50.8	64.1	6.8	76	Urelapa Island
Vanuatu	U/Th	13_74_75_(b)	-15.61	167.024	9741	17	Porites sp.	-	-	-	0	-33.075	35.449999999999996	35.449999999999996	CabiochEtal2003,HibbertEtal2016		9.741	0.017	-50.8	64.1	6.8	76	Urelapa Island
Vanuatu	U/Th	13_85	-15.61	167.024	11695	54	Acropora sp.	-	-	-	0	-58.39999999999999	12.4	12.4	CabiochEtal2003,HibbertEtal2016		11.695	0.054	-64.6	20	4.8	76	Urelapa Island
Vanuatu	U/Th	13_88	-15.61	167.024	12695	33	Porites sp.?	-	-	-	0	-54.275000000000006	35.85	35.85	CabiochEtal2003,HibbertEtal2016		12.695	0.033	-72.2	64.2	7.5	76	Urelapa Island
Vanuatu	U/Th	13_130	-15.61	167.024	22211	49	Faviidae	-	-	-	0	-108.07499999999999	21.450000000000003	21.450000000000003	CabiochEtal2003,HibbertEtal2016		22.211	0.049	-118.8	32.2	10.7	76	Urelapa Island
Vanuatu	U/Th	14_54	-15.61	167.024	10356	23	Porites sp.	-	-	-	0	-41.02499999999999	35.550000000000004	35.550000000000004	CabiochEtal2003,HibbertEtal2016		10.356	0.023	-58.8	64.2	6.9	76	Urelapa Island
Vanuatu	U/Th	14_127	-15.61	167.024	22780	72	Faviidae	-	-	-	0	-122.42499999999998	21.549999999999997	21.549999999999997	CabiochEtal2003,HibbertEtal2016		22.78	0.072	-133.2	32.3	10.8	76	Urelapa Island
