Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes									
Lubeck	radiocarbon	KIA-22804	54.05	11.47	7090	32	tree stump	terrestrial	-	-	1	-9	0.5	0.5	LampeEtal2010		#REF!	802	279; 150	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7925	45
Lubeck	radiocarbon	KIA-19240	54.05	11.47	7022	44	tree stump	terrestrial	-	-	1	-7	0.5	0.5	LampeEtal2010		#REF!	803	280; 151	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7860	90
Lubeck	radiocarbon	KIA-19241	54.05	11.47	7014	36	tree stump	terrestrial	-	-	1	-7.2	0.5	0.5	LampeEtal2010		#REF!	804	281; 152	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7855	80
Lubeck	radiocarbon	KIA-18209	54.05	11.47	6969	33	tree stump	terrestrial	-	-	1	-7.7	0.5	0.5	LampeEtal2010		#REF!	805	282; 153	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7800	120
Lubeck	radiocarbon	KIA-19243	54.05	11.47	6916	35	tree stump	terrestrial	-	-	1	-7.7	0.5	0.5	LampeEtal2010		#REF!	806	283; 154	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7740	90
Lubeck	radiocarbon	KIA-19242	54.05	11.47	6888	35	tree stump	terrestrial	-	-	1	-7.1	0.5	0.5	LampeEtal2010		#REF!	807	284; 155	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Orth *	0	n/a	7715	105
Lubeck	radiocarbon	KIA-19323	54.05	11.46	7022	33	tree stump	terrestrial	-	-	1	-8.4	0.5	0.5	LampeEtal2010		#REF!	808	285; 156	Lampe et al. 2010	Germany M-V; Poel; Jäckelgrund-Furt *	0	n/a	7865	75
Lubeck	radiocarbon	KIA-19817	53.97	11.39	885	25	mr (Betula)	terrestrial	-	-	0	-0.15	0.25	0.25	LampeEtal2010		#REF!	809	286; 157	Lampe et al. 2010	Germany M-V; Poel; Rustwerder. Salzwiese	0	n/a	790	115
Lubeck	radiocarbon	KIA-19819	53.97	11.39	6775	35	mr (Betula)	terrestrial	-	-	0	-7.45	0.25	0.25	LampeEtal2010		#REF!	810	287; 158	Lampe et al. 2010	Germany M-V; Poel; Rustwerder P5B1	0	n/a	7625	45
Lubeck	radiocarbon	KIA-22866	53.95	11.49	4791	33	seeds	terrestrial	-	-	0	-3.35	0.25	0.25	LampeEtal2010		#REF!	811	288; 159	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	5515	80
Lubeck	radiocarbon	KIA-22867	53.95	11.49	4624	45	indet mr	terrestrial	-	-	0	-3.15	0.25	0.25	LampeEtal2010		#REF!	812	290; 160	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	5395	175
Lubeck	radiocarbon	KIA-22868	53.95	11.49	4466	37	indet mr	terrestrial	-	-	0	-2.85	0.25	0.25	LampeEtal2010		#REF!	813	291; 161	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	5145	145
Lubeck	radiocarbon	KIA-22869	53.95	11.49	3918	57	indet mr	terrestrial	-	-	0	-2.55	0.25	0.25	LampeEtal2010		#REF!	814	292; 162	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	4345	170
Lubeck	radiocarbon	KIA-22870	53.95	11.49	3664	80	indet mr	terrestrial	-	-	0	-2.05	0.25	0.25	LampeEtal2010		#REF!	815	293; 163	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	3995	240
Lubeck	radiocarbon	KIA-22876	53.95	11.49	1810	31	seeds	terrestrial	-	-	0	-1.15	0.25	0.25	LampeEtal2010		#REF!	816	294; 164	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	1750	75
Lubeck	radiocarbon	KIA-22871	53.95	11.49	1707	26	indet mr	terrestrial	-	-	0	-1.05	0.25	0.25	LampeEtal2010		#REF!	817	295; 165	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	1605	90
Lubeck	radiocarbon	KIA-22872	53.95	11.49	895	33	indet mr	terrestrial	-	-	0	-0.65	0.25	0.25	LampeEtal2010		#REF!	818	296; 166	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	820	90
Lubeck	radiocarbon	KIA-22875	53.95	11.49	535	23	indet mr	terrestrial	-	-	0	0.05000000000000002	0.25	0.25	LampeEtal2010		#REF!	819	297; 167	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	540	90
Lubeck	radiocarbon	KIA-22873	53.95	11.49	490	23	indet mr	terrestrial	-	-	0	-0.44999999999999996	0.25	0.25	LampeEtal2010		#REF!	820	298; 168	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	520	20
Lubeck	radiocarbon	KIA-22874	53.95	11.49	226	33	indet mr	terrestrial	-	-	0	-0.15	0.25	0.25	LampeEtal2010		#REF!	821	299; 169	Lampe et al. 2010	Germany M-V; Poel; Redentin6	0	n/a	195	225
Lubeck	radiocarbon	KIA-26007	54.04	11.51	7285	35	basal peat. bulk	terrestrial	-	-	0	-11.15	0.25	0.25	LampeEtal2010		#REF!	822	301; 170	Lampe et al. 2010	Germany M-V; Poel; Ellenbogen 5/10	0	n/a	8100	75
