Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference					
Huon_Peninsula	U/Th	KAN-C-2	-6.25	147.667	48679	160.8	Favia laxa	-	-	-	0	-56.900000000000006	28.299999999999997	28.299999999999997	CutlerEtal2003,HibbertEtal2016		-85.2	16.2	40.4	6
Huon_Peninsula	U/Th	KAN-D-4	-6.25	147.667	48871.2	182.3	Porites sp.	-	-	-	0	-19.15	36.550000000000004	36.550000000000004	CutlerEtal2003,HibbertEtal2016		-55.7	64.2	8.9	6
Huon_Peninsula	U/Th	KWA-K-1_A	-6.1	147.617	49919.6	105.4	Porites sp.	-	-	-	0	-23.25	35.95	35.95	CutlerEtal2003,HibbertEtal2016		-59.2	64.2	7.7	6
Huon_Peninsula	U/Th	KWA-N-1_A	-6.1	147.617	50352.9	200.3	Porites sp.	-	-	-	0	-45.05	35.95	35.95	CutlerEtal2003,HibbertEtal2016		-81	64.2	7.7	6
Huon_Peninsula	U/Th	KWA-N-1_B	-6.1	147.617	50922.1	135.4	Porites sp.	-	-	-	0	-46.05	35.95	35.95	CutlerEtal2003,HibbertEtal2016		-82	64.2	7.7	6
Huon_Peninsula	U/Th	Kanz_11	-6.25	147.667	51465.8	90.4	Porites sp.	-	-	-	0	-23.15	36.550000000000004	36.550000000000004	YokoyamaEtal2001,HibbertEtal2016		-59.7	64.2	8.9	45
Huon_Peninsula	U/Th	Kanz_4	-6.25	147.667	51595.7	771.1	Faviidae	-	-	-	0	-30.400000000000002	21.599999999999998	21.599999999999998	YokoyamaEtal2001,HibbertEtal2016		-52	32.3	10.9	45
Huon_Peninsula	U/Th	Kanz_9	-6.25	147.667	53574.6	109.4	Faviidae	-	-	-	0	-44.14999999999999	21.150000000000002	21.150000000000002	YokoyamaEtal2001,HibbertEtal2016		-65.3	32.2	10.1	45
Huon_Peninsula	U/Th	Kanz_9T	-6.25	147.667	54747	200	Faviidae	-	-	-	0	-47.3	21.200000000000003	21.200000000000003	ChappellEtal1996,HibbertEtal2016	Nominal age uncertainty of 200 years added, since it was not reported	-68.5	32.2	10.2	46
Huon_Peninsula	U/Th	Kanz_1	-6.25	147.667	61565.5	200	Faviidae	-	-	-	0	-38.150000000000006	21.549999999999997	21.549999999999997	ChappellEtal1996,HibbertEtal2016	Nominal age uncertainty of 200 years added, since it was not reported	-59.7	32.4	10.7	46
Huon_Peninsula	U/Th	Sial-E-1	-6.1	147.6	68247.3	154.7	Montipora sp.	-	-	-	0	2.6000000000000014	47.4	47.4	CutlerEtal2003,HibbertEtal2016		-44.8	58.4	36.4	6
